 -- Frame 314 Framerate: 67.7 [Very Good Framerate]
 -- Frame 315 Framerate: 66.6 [Very Good Framerate]
 -- Frame 316 Framerate: 68.2 [Very Good Framerate]
 -- Frame 317 Framerate: 68.2 [Very Good Framerate]
 -- Frame 318 Framerate: 64.5 [Very Good Framerate]
 -- Frame 319 Framerate: 67.1 [Very Good Framerate]
 -- Frame 320 Framerate: 65.9 [Very Good Framerate]
 -- Frame 321 Framerate: 65.6 [Very Good Framerate]
 -- Frame 322 Framerate: 65.9 [Very Good Framerate]
 -- Frame 323 Framerate: 67.6 [Very Good Framerate]
 -- Frame 324 Framerate: 66.0 [Very Good Framerate]
 -- Frame 325 Framerate: 66.6 [Very Good Framerate]
 -- Frame 326 Framerate: 66.4 [Very Good Framerate]
 -- Frame 327 Framerate: 65.7 [Very Good Framerate]
 -- Frame 328 Framerate: 65.7 [Very Good Framerate]
 -- Frame 329 Framerate: 66.3 [Very Good Framerate]
 -- Frame 330 Framerate: 67.3 [Very Good Framerate]
 -- Frame 331 Framerate: 64.7 [Very Good Framerate]
 -- Frame 332 Framerate: 66.7 [Very Good Framerate]
 -- Frame 333 Framerate: 947.0 [Very Good Framerate]
 -- Frame 334 Framerate: 1081.1 [Very Good Framerate]
 -- Frame 335 Framerate: 71.8 [Very Good Framerate]
 -- Frame 336 Framerate: 72.6 [Very Good Framerate]
 -- Frame 337 Framerate: 73.3 [Very Good Framerate]
 -- Frame 338 Framerate: 79.3 [Very Good Framerate]
 -- Frame 339 Framerate: 82.5 [Very Good Framerate]
 -- Frame 340 Framerate: 72.5 [Very Good Framerate]
 -- Frame 341 Framerate: 74.2 [Very Good Framerate]
 -- Frame 342 Framerate: 75.1 [Very Good Framerate]
 -- Frame 343 Framerate: 78.7 [Very Good Framerate]
 -- Frame 344 Framerate: 79.4 [Very Good Framerate]
 -- Frame 345 Framerate: 79.9 [Very Good Framerate]
 -- Frame 346 Framerate: 76.1 [Very Good Framerate]
 -- Frame 347 Framerate: 82.5 [Very Good Framerate]
 -- Frame 348 Framerate: 80.0 [Very Good Framerate]
